index,time,IP,PD,GWfr,GWfr_avg,FIR,TDAI,WP,LHD_label,ELM_label
1,1.4944,-1000270.625,6011669941446.22,0.159009742347643,0.159009742347643,4.96447111424702e+18,6011669941446.22,154891.301709925,1,1
2,1.495,-997170.000000061,5998952090323.79,0.160165093146209,0.160165093146209,5.00686264936825e+18,5998952090323.79,154323.990076337,1,1
3,1.4956,-1000454.81249999,5866441634774.13,0.161225979600815,0.161225979600815,5.04659116192736e+18,5866441634774.13,153756.678442749,1,1
4,1.4962,-1001751.24999998,5877840722902.82,0.162034111309,0.162034111309,5.0781392369201e+18,5877840722902.82,153755.506559998,1,1
5,1.4968,-1000833.56249999,6173595450104.71,0.162585433037171,0.162585433037171,5.10145306699369e+18,6173595450104.71,154872.988982855,1,1
6,1.4974,-1001350.5,6219323730013.65,0.162869930623656,0.162869930623656,5.1162115623686e+18,6219323730013.65,155990.471405712,1,1
7,1.498,-1003685.43749998,6138487278427.75,0.162725911355898,0.162725911355898,5.11482162557835e+18,6138487278427.75,157107.953828569,1,1
8,1.4986,-1003772.12500001,6084540583938.56,0.162422824320331,0.162422824320331,5.1073491528952e+18,6084540583938.56,157646.311328243,1,1
9,1.4992,-1004316.25,6117406995635.58,0.161760034208183,0.161760034208183,5.08585497765745e+18,6117406995635.58,158183.606473281,1,1
10,1.4998,-1005285.50000001,6324517846316.63,0.160786476903283,0.160786476903283,5.05486377743596e+18,6324517846316.63,158720.90161832,1,1
11,1.5004,-1005416.875,6606017373191.25,0.159493563072716,0.159493563072716,5.01411306278144e+18,6606017373191.25,159282.209954197,1,1
12,1.501,-1006957.37499995,6924145708213.39,0.157508180728396,0.157508180728396,4.95202647036052e+18,6924145708213.39,159855.524885495,1,1
13,1.5016,-1006128.00000001,6625130058836.99,0.155280689918588,0.155280689918588,4.88262920286765e+18,6625130058836.99,160428.839816793,1,1
14,1.5022,-1007773,6394280094168.46,0.152546681270794,0.152546681270794,4.7983980558779e+18,6394280094168.46,160683.479680001,1,1
15,1.5028,-1009577.99999998,6298644300004.92,0.149778324412801,0.149778324412801,4.71365869466159e+18,6298644300004.92,160305.992320001,1,1
16,1.5034,-1005060.43750001,6214687362315.46,0.146975055704796,0.146975055704796,4.62840277963509e+18,6214687362315.46,159928.504960001,1,1
17,1.504,-1006306.37500003,6136497975878.12,0.14410811111131,0.14410811111131,4.54165202209253e+18,6136497975878.12,159551.017600001,1,1
18,1.5046,-1010528.68749997,5940496941679.73,0.141224201485422,0.141224201485422,4.45456040530551e+18,5940496941679.73,158918.359419849,1,1
19,1.5052,-1006812.56250002,5969914589502.12,0.138322461282993,0.138322461282993,4.36735597496603e+18,5969914589502.12,158285.011511452,1,1
20,1.5058,-1007609.9375,6454442610479.06,0.135659500601808,0.135659500601808,4.28708777712026e+18,6454442610479.06,157651.663603055,1,1
21,1.5064,-1009031.1875,6648521551152.46,0.133242769430031,0.133242769430031,4.21397222417124e+18,6648521551152.46,157296.107725191,1,1
22,1.507,-1010215.62499996,6696800943523.94,0.131306192028405,0.131306192028405,4.15515221748027e+18,6696800943523.94,157079.989007634,1,1
23,1.5076,-1010232.1875,6564074572427.52,0.129588833761919,0.129588833761919,4.10317072952481e+18,6564074572427.52,156863.870290077,1,1
24,1.5082,-1010690.62499999,6484801760279.75,0.12846619718457,0.12846619718457,4.07052253378216e+18,6484801760279.75,157528.781007629,1,1
25,1.5088,-1010182.0625,6511972497144.08,0.127841344896942,0.127841344896942,4.05396154777397e+18,6511972497144.08,159948.109984728,1,1
26,1.5094,-1010115.3125,6543145896294.85,0.127724198422063,0.127724198422063,4.05380841163519e+18,6543145896294.85,162367.438961827,1,1
27,1.51,-1010105.56250007,6575345745140.61,0.12854267020001,0.12854267020001,4.08111692793194e+18,6575345745140.61,164778.315428573,1,1
28,1.5106,-1009457.12500001,6266055110057.23,0.129715580814319,0.129715580814319,4.11879148366151e+18,6266055110057.23,164176.13321143,1,1
29,1.5112,-1010246.81250001,6016409250112.87,0.131756316736111,0.131756316736111,4.18173835753478e+18,6016409250112.87,163573.950994287,1,1
30,1.5118,-1010573.74999998,5887484062774.65,0.134116780804777,0.134116780804777,4.25426200698837e+18,5887484062774.65,162971.768777144,1,1
31,1.5124,-1012742.43749999,6045612220557.2,0.136808091237048,0.136808091237048,4.33669545452138e+18,6045612220557.2,162504.544183207,1,1
32,1.513,-1009602.75,6348386877768.57,0.139850749618348,0.139850749618348,4.42921301793584e+18,6348386877768.57,162105.324885497,1,1
